Datenerhebungsblatt Bäume
GRUPPE: NaturNah GmbH
Mitglieder: Waseem Naseem, Julius Reinwart, Marco Koch, Elias Yalcin, Lilli Hecker
Datum: 04.06.2026

Baumnr;Punkt_id;Himmelsrichtung;Winkel;Distanz;Temperatur (C°);Feuchtigkeit;Uhrzeit;Beschreibung (schattig/Loch etc.);
62;NN_B62_P01;Norden;3;0,5;16,1;19,7;8:57;;
62;NN_B62_P02;Norden;3;0,54;16,1;19,7;8:57;;
62;NN_B62_P03;Norden;3;6,47;16;28,9;8:57;;
62;NN_B62_P04;Norden;3;10,14;NA;NA;;Weg;
62;NN_B62_P05;Osten;81;0,5;16,7;28,9;9:00;;
62;NN_B62_P06;Osten;81;3,58;16,8;29,1;9:00;;
62;NN_B62_P07;Osten;81;9,58;17,5;27,8;9:01;Sonnig;
62;NN_B62_P08;Osten;81;10,14;17,5;27,8;9:02;Sonnig;
62;NN_B62_P09;Süden;183;0,5;17,2;30,6;9:03;;
62;NN_B62_P10;Süden;183;4,72;17;29,6;9:04;;
62;NN_B62_P11;Süden;183;6,32;17;23,8;9:05;;
62;NN_B62_P12;Süden;183;10,19;17,8;25,1;9:06;;
62;NN_B62_P13;Westen;285;0,5;16,5;29,5;9:07;;
62;NN_B62_P14;Westen;285;2,29;18,5;31,2;9:08;;
62;NN_B62_P15;Westen;285;5,58;15,6;35,5;9:09;;
62;NN_B62_P16;Westen;285;10,03;15,2;31,1;9:10;;
54;NN_B54_P01;Norden;-1;0,5;18,8;28,8;11:12;;
54;NN_B54_P02;Norden;-1;1,02;17,9;26,6;11:13;;
54;NN_B54_P03;Norden;-1;5,4;NA;NA;;;
54;NN_B54_P04;Norden;-1;6,33;NA;NA;;;
54;NN_B54_P05;Osten;82;0,5;19;24,6;11:15;;
54;NN_B54_P06;Osten;82;0,56;NA;;;;
54;NN_B54_P07;Osten;82;3,62;NA;;;;
54;NN_B54_P08;Osten;82;6,11;NA;;;;
54;NN_B54_P09;Süden;180;0,5;18,5;23,5;11:18;;
54;NN_B54_P10;Süden;180;1,27;18;29,3;11:19;;
54;NN_B54_P11;Süden;180;4,28;NA;NA;;;
54;NN_B54_P12;Süden;180;6,35;NA;NA;;;
54;NN_B54_P13;Westen;263;0,5;18,5;28,8;11:20;;
54;NN_B54_P14;Westen;263;0,5;18,5;28,8;11:21;;
54;NN_B54_P15;Westen;263;4,53;18,8;28,4;11:22;;
54;NN_B54_P16;Westen;263;6,01;18;28,3;11:23;;
47;NN_B47_P01;Norden;-13;0,5;17,2;26,3;11:09;Steine;
47;NN_B47_P02;Norden;-13;2,54;NA;NA;;;
47;NN_B47_P03;Norden;-13;5,83;NA;NA;;;
47;NN_B47_P04;Norden;-13;6,13;NA;NA;;;
47;NN_B47_P05;Osten;96;0,5;18;NA;11:09;;
47;NN_B47_P06;Osten;96;1,12;17,4;NA;11:09;;
47;NN_B47_P07;Osten;96;4,17;NA;NA;;;
47;NN_B47_P08;Osten;96;6,05;NA;NA;;;
47;NN_B47_P09;Süden;173;0,5;NA;NA;;;
47;NN_B47_P10;Süden;173;2,09;NA;NA;;;
47;NN_B47_P11;Süden;173;5,87;17;32,8;11:09;;
47;NN_B47_P12;Süden;173;6,28;17;32,8;11:09;;
47;NN_B47_P13;Westen;273;0,5;NA;NA;;;
47;NN_B47_P14;Westen;273;0,99;NA;NA;;;
47;NN_B47_P15;Westen;273;5,9;17,8;24,8;11:09;;
47;NN_B47_P16;Westen;273;6,33;17,8;24,8;11:09;;
39;NN_B39_P01;Norden;5;0,5;17;33;10:56;;
