Baum-Nr.;Punkt-ID;Uhrzeit;Winkel [°];Abst. Zu Stamm [m];Bodentemp. [°C];Bodenfeuchte [%];Anmerkung (Witterung beim Punkt, Gattung etc.);Validierung (1 = valid, 0 = not valid)
13;TT_B_13_N1;10:12;-12,00;0,50;15,30;13,90;Schattig, im Gebüsch;1
13;TT_B_13_N2;10:13;-12,00;1,10;15,70;17,10;Schattig, im Gebüsch;1
13;TT_B_13_N3;10:13;-12,00;3,31;15,50;15,80;Schattig, im Gebüsch;1
13;TT_B_13_N4;10:14;-12,00;6,16;15,40;24,90;Schattig, im Gebüsch;1
13;TT_B_13_O1;10:15;78,00;0,50;15,20;26,50;Schattig, im Gebüsch;1
13;TT_B_13_O2;10:16;78,00;1,72;15,30;6,20;Schattig, auf kleinem Weg;1
13;TT_B_13_O3;10:17;78,00;4,09;15,70;10,60;Schattig, im Gebüsch;1
13;TT_B_13_O4;;78,00;6,21;;;In anderem Baum;0
13;TT_B_13_S1;10:19;181,00;0,50;15,00;31,10;Schattig, im Gebüsch;1
13;TT_B_13_S2;10:21;181,00;2,87;15,00;25,70;Schattig, im Gebüsch;1
13;TT_B_13_S3;;181,00;4,28;;;Abhang, Dickicht zu dicht;0
13;TT_B_13_S4;;181,00;6,21;;;Abhang;0
13;TT_B_13_W1;10:24;270,00;0,50;15,20;32,70;Schattig, Gebüsch;1
13;TT_B_13_W2;10:27;270,00;1,99;15,40;8,40;Schattig, Gebüsch;1
13;TT_B_13_W3;10:26;270,00;5,43;17,40;14,20;Schattig, Wiese;1
13;TT_B_13_W4;10:25;270,00;6,36;17,20;26,00;Schattig, Nähe Loch;1
18;TT_B_18_N1;09:53;-3,00;0,50;16,10;9,00;Schattig, kein Bewuchs auf Boden;1
18;TT_B_18_N2;09:54;-3,00;3,63;15,90;27,30;Schattig, kein Bewuchs auf Boden;1
18;TT_B_18_N3;09:55;-3,00;5,74;16,50;26,10;Schattig, kein Bewuchs auf Boden;1
18;TT_B_18_N4;09:56;-3,00;10,45;16,90;26,50;Halbschattig, neben Sandloch;1
18;TT_B_18_O1;09:57;75,00;0,50;15,90;22,00;Schattig, kein Bewuchs auf Boden;1
18;TT_B_18_O2;09:58;75,00;1,80;16,20;12,40;;1
18;TT_B_18_O3;09:59;75,00;9,37;15,80;28,60;;1
18;TT_B_18_O4;10:01;75,00;10,40;16,00;16,60;;1
18;TT_B_18_S1;10:02;194,00;0,50;16,10;25,20;Sandig, kein Bewuchs;1
18;TT_B_18_S2;10:03;194,00;0,88;16,10;19,00;;1
18;TT_B_18_S3;;194,00;9,37;;;Mauer vor Hügel;0
18;TT_B_18_S4;;194,00;10,16;;;Mauer vor Hügel;0
18;TT_B_18_W1;10:05;256,00;0,50;15,90;24,60;Schattig, Sandig, Kein Bewuchs;1
18;TT_B_18_W2;10:06;256,00;0,90;16,00;21,40;Schattig, Sandig, direkt an Baum 17;1
18;TT_B_18_W3;10:07;256,00;7,37;15,10;27,40;Schattig, Sandig, Kein Bewuchs;1
18;TT_B_18_W4;10:08;256,00;10,44;15,40;22,30;Schattig, Sandig, Kein Bewuchs;1
34;TT_B_34_N1;10:30;9,00;0,50;17,20;21,50;Schattig;1
34;TT_B_34_N2;10:31;9,00;1,38;16,50;26,40;Schattig;1
34;TT_B_34_N3;10:32;9,00;6,80;16,50;25,00;Schattig;1
34;TT_B_34_N4;10:33;9,00;8,09;16,50;24,00;Schattig;1
34;TT_B_34_O1;10:34;84,00;0,50;17,00;23,10;Schattig;1
34;TT_B_34_O2;10:35;84,00;2,16;16,60;27,10;Schattig;1
34;TT_B_34_O3;10:36;84,00;7,97;17,00;31,90;Schattig;1
34;TT_B_34_O4;10:37;84,00;8,26;16,80;28,10;Schattig;1
