Punkt-ID;Uhrzeit;Lage (Latitude);Lage (Longitude);Bodentemp. [in °C];Bodenfeuchte [in %];Anmerkung (Witterung (Boden), Lufttemp., etc.);Validierung (1 = valid, 0 = not valid)
TT_P_01;11:28;52,5464335;13,3394458;16,80;27,70;Schattig;1
TT_P_02;11:30;52,5464305;13,3393817;18,00;23,30;Halbschattig;1
TT_P_03;11:31;52,5464832;13,3393032;19,70;19,20;Halbschattig;1
TT_P_04;11:36;52,5463954;13,3391820;17,20;26,70;Schattig;1
TT_P_05;11:38;52,5463127;13,3389210;19,00;21,20;Sonnig;1
TT_P_06;11:40;52,5465867;13,3390235;17,10;24,30;Sonnig;1
TT_P_07;08:55;52,5465816;13,3387910;17,60;14,50;Startpunkt, Messungen je 25 s., Datum: 28.05.26;1
TT_P_08;08:58;52,5466771;13,3387283;16,70;30,60;;1
TT_P_09;09:00;52,5467035;13,3386835;18,00;29,70;;1
TT_P_10;09:02;52,5466151;13,3387092;16,80;32,10;;1
TT_P_11;09:06;52,5464747;13,3386242;17,90;33,10;;1
TT_P_12;09:08;52,5464937;13,3385799;18,70;34,60;Sandig, neben Loch, Sonnig, fast wolkenlos;1
TT_P_13;09:10;52,5464323;13,3385310;19,70;33,20;Sonnig;1
TT_P_14;09:17;52,5464856;13,3384630;17,90;26,50;Sonnig;1
TT_P_15;09:20;52,5466813;13,3383834;19,00;33,40;Sonnig, Wegnähe;1
TT_P_16;09:24;52,5465911;13,3383095;17,00;26,20;Halbschattig;1
TT_P_17;09:26;52,5465260;13,3383234;18,50;23,50;Sonnig;1
TT_P_18;09:30;52,5464241;13,3381766;17,80;33,50;Sonnig, Auf Hügel;1
TT_P_19;09:32;52,5463564;13,3380957;18,10;31,40;Sonnig, Auf Hügel;1
TT_P_20;09:35;52,5464042;13,3380654;17,30;35,10;Sonnig;1
TT_P_21;09:37;52,5463493;13,3380667;16,90;29,50;Sonnig, Auf Hügel;1
TT_P_22;09:39;52,5463344;13,3380241;16,90;11,60;Sonnig;1
TT_P_23;09:42;52,5462732;13,3377005;15,10;16,10;Schattig, Unter Baum;1
TT_P_24;09:44;52,5463107;13,3375040;15,50;30,60;Halbschattig, Baumnähe;1
TT_P_25;09:47;52,5462775;13,3374110;15,40;40,60;Sonnig, Hohes Gras;1
TT_P_26;09:48;52,5461771;13,3372079;13,50;15,10;Schattig, Baumnähe;1
TT_P_27;09:52;52,5461304;13,3372746;13,60;32,40;Schattig, Baumnähe, kühl;1
TT_P_29;09:54;52,5461758;13,3376609;16,10;20,40;Sonnig, Baumnähe;1
TT_P_29;09:57;52,5460492;13,3378121;14,60;20,80;Sonnig, Auf Hügel;1
TT_P_30;09:59;52,5459729;13,3378938;15,00;31,80;Sonnig, Auf Hügel, Buschnah;1
TT_P_31;10:06;52,5461368;13,3379694;17,60;13,20;Sonnig, Hanglage;1
TT_P_32;10:18;52,5462183;13,3380666;18,20;29,40;Sonnig, Ein Feuchtemessgerät kaputt, ab hier mit beiden gemessen, Wert des neuen genommen, alle Werte hierüber nachgeholt;1
TT_P_33;10:21;52,5461906;13,3380901;18,60;23,00;Sonnig;1
TT_P_34;10:25;52,5461091;13,3381914;17,70;32,20;Sonnig;1
TT_P_35;10:28;52,5460750;13,3382265;18,20;32,50;Halbschattig;1
TT_P_36;10:33;52,5458004;13,3381850;13,50;31,10;Schattig, Hang;1
TT_P_37;10:36;52,5456891;13,3382831;14,70;28,40;Schattig, Hang oben;1
TT_P_38;10:39;52,5456543;13,3383139;15,90;16,80;Schattig, Hang oben;1
TT_P_39;10:42;52,5457470;13,3382999;14,60;27,30;Schattig, Hang;1
TT_P_40;10:44;52,5457870;13,3383221;14,50;20,60;Schattig, Hang;1
TT_P_41;10:48;52,5459727;13,3384542;14,10;11,40;Schattig, Baumnähe;1
TT_P_42;10:52;52,5460080;13,3383680;16,00;29,20;Schattig;1
TT_P_43;10:54;52,5459862;13,3383397;14,50;39,80;Schattig;1
TT_P_44;10:57;52,5462024;13,3382782;18,00;24,30;Sonnig;1
TT_P_45;11:00;52,5461392;13,3383580;18,50;22,90;Sonnig;1
TT_P_46;11:03;52,5461079;13,3384425;18,00;26,40;Sonnig;1
TT_P_47;11:06;52,5461262;13,3385024;17,60;21,20;Sonnig;1
TT_P_48;11:11;52,5462714;13,3387460;20,00;32,10;Sonnig;1
TT_P_49;11:14;52,5461072;13,3387647;18,40;25,60;Sonnig;1
TT_P_50;11:17;52,5459696;13,3387460;17,40;30,50;Sonnig;1
TT_P_51;11:19;52,5458479;13,3389476;13,90;36,30;Schattig, Baumnähe;1
TT_P_52;11:22;52,5461059;13,3391841;15,50;25,00;Halbschattig, Baumnähe;1
TT_P_53;11:25;52,5462677;13,3391565;16,70;27,30;Sonnig;1
